1.2585e-06,1,0.94,3.0919,0.20178,0
1.4797e-06,1.1661,0.94,3.0927,0.2035,1
1.4857e-06,1.0646,0.94,3.1024,0.22451,1
1.4924e-06,1,0.94,3.1098,0.24064,0
1.5814e-06,1.1753,0.94,3.0986,0.21619,1
1.3488e-06,1.148,0.94,3.0856,0.18799,1
1.7523e-06,1.1665,0.94,3.1106,0.24227,1
9.6787e-07,1,0.94,3.0701,0.15409,0
1.8076e-06,1.1559,0.94,3.1153,0.2526,1
1.0587e-06,1,0.94,3.0769,0.16892,0
7.2414e-07,1,0.94,3.052,0.1146,0
6.0318e-07,1,0.94,3.0432,0.095178,0
5.1323e-07,1,0.94,3.0367,0.080806,0
6.6393e-07,1.0274,0.94,3.0463,0.10208,1
8.813e-07,1,0.94,3.0636,0.14001,0
9.7212e-07,1.172,0.94,3.0598,0.13161,1
1.4798e-06,1.081,0.94,3.1004,0.22007,1
5.8378e-07,1,0.94,3.0418,0.092073,0
1.5569e-06,1.0913,0.94,3.1048,0.22969,1
1.0773e-06,1,0.94,3.0783,0.17198,0
1.5502e-06,1.1288,0.94,3.1007,0.22082,1
1.3983e-06,1.039,0.94,3.0986,0.21623,1
6.0758e-07,1,0.94,3.0435,0.095883,0
7.436e-07,1,0.94,3.0535,0.11774,0
5.2773e-07,1,0.94,3.0377,0.083119,0
9.3813e-07,1,0.94,3.0679,0.14925,0
1.1861e-06,1,0.94,3.0865,0.18984,0
4.271e-07,1,0.94,3.0304,0.067102,0
1.9876e-06,1.0612,0.94,3.1395,0.30479,1
1.3519e-06,1.1503,0.94,3.0857,0.18806,1
6.0879e-07,1,0.94,3.0436,0.096076,0
1.522e-06,1.0602,0.94,3.1055,0.23118,1
1.7548e-06,1.0763,0.94,3.1205,0.26379,1
8.4945e-07,1,0.94,3.0613,0.13485,0
5.9888e-07,1,0.94,3.0429,0.09449,0
1.0088e-06,1,0.94,3.0731,0.16077,0
1.1085e-06,1.1109,0.94,3.0723,0.15899,1
1.5806e-06,1.1049,0.94,3.1051,0.23032,1
6.3328e-07,1,0.94,3.0454,0.1,0
7.7938e-07,1,0.94,3.0561,0.12351,0
